ADC, mV wed_noor_calib4_period05_replugged 
67.000000, 550.000000
67.000000, 550.000000
67.000000, 550.000000
67.000000, 550.000000
70.000000, 550.000000
67.000000, 550.000000
69.000000, 550.000000
63.000000, 555.000000
69.000000, 555.000000
71.000000, 555.000000
71.000000, 555.000000
69.000000, 555.000000
71.000000, 555.000000
71.000000, 555.000000
71.000000, 555.000000
71.000000, 555.000000
71.000000, 555.000000
71.000000, 560.000000
63.000000, 560.000000
70.000000, 560.000000
71.000000, 560.000000
71.000000, 560.000000
71.000000, 560.000000
71.000000, 560.000000
71.000000, 560.000000
71.000000, 560.000000
70.000000, 560.000000
62.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
73.000000, 565.000000
71.000000, 565.000000
71.000000, 565.000000
63.000000, 570.000000
70.000000, 570.000000
70.000000, 570.000000
70.000000, 570.000000
71.000000, 570.000000
71.000000, 570.000000
71.000000, 570.000000
71.000000, 570.000000
71.000000, 570.000000
71.000000, 570.000000
67.000000, 575.000000
73.000000, 575.000000
71.000000, 575.000000
71.000000, 575.000000
73.000000, 575.000000
73.000000, 575.000000
71.000000, 575.000000
71.000000, 575.000000
71.000000, 575.000000
73.000000, 575.000000
63.000000, 580.000000
76.000000, 580.000000
71.000000, 580.000000
76.000000, 580.000000
71.000000, 580.000000
76.000000, 580.000000
71.000000, 580.000000
73.000000, 580.000000
73.000000, 580.000000
73.000000, 580.000000
63.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
71.000000, 585.000000
63.000000, 590.000000
71.000000, 590.000000
73.000000, 590.000000
74.000000, 590.000000
71.000000, 590.000000
73.000000, 590.000000
71.000000, 590.000000
73.000000, 590.000000
73.000000, 590.000000
71.000000, 590.000000
67.000000, 595.000000
71.000000, 595.000000
74.000000, 595.000000
71.000000, 595.000000
78.000000, 595.000000
73.000000, 595.000000
71.000000, 595.000000
71.000000, 595.000000
71.000000, 595.000000
71.000000, 595.000000
63.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
71.000000, 600.000000
76.000000, 600.000000
63.000000, 605.000000
78.000000, 605.000000
76.000000, 605.000000
76.000000, 605.000000
76.000000, 605.000000
76.000000, 605.000000
78.000000, 605.000000
75.000000, 605.000000
78.000000, 605.000000
78.000000, 605.000000
70.000000, 610.000000
79.000000, 610.000000
79.000000, 610.000000
78.000000, 610.000000
79.000000, 610.000000
78.000000, 610.000000
79.000000, 610.000000
79.000000, 610.000000
77.000000, 610.000000
79.000000, 610.000000
78.000000, 615.000000
71.000000, 615.000000
78.000000, 615.000000
78.000000, 615.000000
78.000000, 615.000000
79.000000, 615.000000
79.000000, 615.000000
79.000000, 615.000000
78.000000, 615.000000
78.000000, 615.000000
71.000000, 620.000000
79.000000, 620.000000
81.000000, 620.000000
79.000000, 620.000000
83.000000, 620.000000
79.000000, 620.000000
79.000000, 620.000000
77.000000, 620.000000
79.000000, 620.000000
79.000000, 620.000000
76.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
78.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
79.000000, 625.000000
71.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
78.000000, 630.000000
79.000000, 630.000000
79.000000, 630.000000
71.000000, 635.000000
79.000000, 635.000000
79.000000, 635.000000
81.000000, 635.000000
79.000000, 635.000000
81.000000, 635.000000
78.000000, 635.000000
79.000000, 635.000000
79.000000, 635.000000
79.000000, 635.000000
76.000000, 640.000000
81.000000, 640.000000
83.000000, 640.000000
82.000000, 640.000000
83.000000, 640.000000
83.000000, 640.000000
83.000000, 640.000000
83.000000, 640.000000
83.000000, 640.000000
83.000000, 640.000000
79.000000, 645.000000
71.000000, 645.000000
76.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
79.000000, 645.000000
78.000000, 650.000000
79.000000, 650.000000
79.000000, 650.000000
81.000000, 650.000000
79.000000, 650.000000
81.000000, 650.000000
79.000000, 650.000000
81.000000, 650.000000
79.000000, 650.000000
79.000000, 650.000000
